index,x,y,z,vx,vy,vz
1187,15.4495,13.7137,42,-1.093,-1.45471,1.14e-05
1188,15.4206,13.6971,42,-1.07589,-1.43195,1.13e-05
1189,15.3928,13.6721,42,-1.05877,-1.40918,1.13e-05
1190,15.3651,13.6555,42,-1.04165,-1.38641,1.12e-05
1191,15.3373,13.6306,42,-1.02453,-1.36364,1.11e-05
1192,15.3106,13.6139,42,-1.00742,-1.34088,1.1e-05
1193,15.284,13.589,42,-0.990315,-1.31813,1.09e-05
1194,15.2573,13.5724,42,-0.973232,-1.29541,1.08e-05
1195,15.2318,13.5557,42,-0.956171,-1.27271,1.07e-05
1196,15.2073,13.5308,42,-0.939138,-1.25005,1.06e-05
1197,15.1818,13.5141,42,-0.922137,-1.22744,1.05e-05
1198,15.1585,13.4975,42,-0.905174,-1.20487,1.04e-05
1199,15.134,13.4809,42,-0.888253,-1.18236,1.02e-05
1200,15.1107,13.4642,42,-0.871379,-1.15991,1.01e-05
1201,15.0874,13.4476,42,-0.854558,-1.13753,1e-05
1202,15.0652,13.431,42,-0.837794,-1.11522,9.87e-06
1203,15.043,13.4143,42,-0.821091,-1.093,9.74e-06
1204,15.0219,13.3977,42,-0.804456,-1.07086,9.61e-06
1205,15.0007,13.3811,42,-0.787893,-1.04883,9.48e-06
1206,14.9796,13.3644,42,-0.771407,-1.02689,9.35e-06
1207,14.9597,13.3478,42,-0.755002,-1.00506,9.21e-06
1208,14.9397,13.3312,42,-0.738683,-0.983343,9.07e-06
1209,14.9208,13.3229,42,-0.722456,-0.961749,8.93e-06
1210,14.9019,13.3062,42,-0.706324,-0.940282,8.79e-06
1211,14.883,13.2896,42,-0.690293,-0.918948,8.64e-06
1212,14.8652,13.273,42,-0.674367,-0.897753,8.5e-06
1213,14.8475,13.2647,42,-0.658551,-0.876704,8.35e-06
1214,14.8297,13.248,42,-0.642849,-0.855807,8.2e-06
1215,14.813,13.2397,42,-0.627266,-0.835068,8.05e-06
1216,14.7964,13.2231,42,-0.611806,-0.814493,7.9e-06
1217,14.7808,13.2148,42,-0.596474,-0.794087,7.75e-06
1218,14.7653,13.1981,42,-0.581274,-0.773856,7.6e-06
1219,14.7497,13.1898,42,-0.56621,-0.753807,7.44e-06
1220,14.7342,13.1815,42,-0.551287,-0.733944,7.29e-06
1221,14.7197,13.1649,42,-0.536509,-0.714274,7.13e-06
1222,14.7064,13.1565,42,-0.521879,-0.694802,6.98e-06
1223,14.692,13.1482,42,-0.507403,-0.675533,6.82e-06
1224,14.6786,13.1399,42,-0.493084,-0.656472,6.67e-06
1225,14.6664,13.1316,42,-0.478925,-0.637626,6.51e-06
1226,14.6542,13.115,42,-0.464931,-0.618999,6.35e-06
1227,14.642,13.1067,42,-0.451106,-0.600596,6.2e-06
1228,14.6298,13.0983,42,-0.437453,-0.582422,6.04e-06
1229,14.6187,13.09,42,-0.423976,-0.564481,5.89e-06
1230,14.6076,13.0817,42,-0.410678,-0.546779,5.73e-06
1231,14.5965,13.0734,42,-0.397563,-0.529321,5.58e-06
1232,14.5865,13.0651,42,-0.384634,-0.51211,5.42e-06
1233,14.5765,13.0568,42,-0.371895,-0.495151,5.27e-06
1234,14.5665,13.0568,42,-0.359348,-0.478448,5.12e-06
1235,14.5565,13.0484,42,-0.346997,-0.462006,4.96e-06
1236,14.5476,13.0401,42,-0.334844,-0.445828,4.81e-06
1237,14.5387,13.0318,42,-0.322894,-0.429918,4.66e-06
1238,14.5309,13.0235,42,-0.311147,-0.41428,4.52e-06
1239,14.522,13.0235,42,-0.299608,-0.398917,4.37e-06
1240,14.5143,13.0152,42,-0.288278,-0.383834,4.22e-06
1241,14.5076,13.0069,42,-0.27716,-0.369032,4.08e-06
1242,14.4998,13.0069,42,-0.266256,-0.354516,3.94e-06
1243,14.4932,12.9985,42,-0.255569,-0.340288,3.79e-06
1244,14.4865,12.9902,42,-0.245101,-0.326351,3.66e-06
1245,14.4798,12.9902,42,-0.234853,-0.312707,3.52e-06
1246,14.4743,12.9819,42,-0.224828,-0.29936,3.38e-06
1247,14.4676,12.9819,42,-0.215027,-0.28631,3.25e-06
1248,14.4621,12.9736,42,-0.205451,-0.273562,3.12e-06
1249,14.4576,12.9736,42,-0.196103,-0.261115,2.99e-06
1250,14.4521,12.9653,42,-0.186983,-0.248973,2.86e-06
1251,14.4476,12.9653,42,-0.178093,-0.237136,2.74e-06
1252,14.4432,12.957,42,-0.169434,-0.225607,2.61e-06
1253,14.4387,12.957,42,-0.161006,-0.214385,2.49e-06
1254,14.4343,12.957,42,-0.15281,-0.203473,2.38e-06
1255,14.4298,12.9486,42,-0.144847,-0.19287,2.26e-06
1256,14.4265,12.9486,42,-0.137117,-0.182578,2.15e-06
1257,14.4232,12.9486,42,-0.12962,-0.172596,2.04e-06
1258,14.4199,12.9403,42,-0.122357,-0.162926,1.93e-06
1259,14.4165,12.9403,42,-0.115327,-0.153566,1.83e-06
1260,14.4132,12.9403,42,-0.108531,-0.144516,1.73e-06
1261,14.411,12.932,42,-0.101967,-0.135776,1.63e-06
1262,14.4076,12.932,42,-0.095635,-0.127345,1.53e-06
1263,14.4054,12.932,42,-0.0895343,-0.119222,1.44e-06
1264,14.4032,12.932,42,-0.0836639,-0.111405,1.35e-06
1265,14.401,12.932,42,-0.0780227,-0.103894,1.27e-06
1266,14.3987,12.9237,42,-0.0726092,-0.0966854,1.18e-06
1267,14.3976,12.9237,42,-0.0674218,-0.0897783,1.1e-06
1268,14.3954,12.9237,42,-0.062459,-0.0831699,1.02e-06
1269,14.3943,12.9237,42,-0.0577186,-0.0768579,9.5e-07
1270,14.3921,12.9237,42,-0.0531986,-0.0708392,8.78e-07
1271,14.391,12.9237,42,-0.0488966,-0.0651108,8.1e-07
1272,14.3899,12.9237,42,-0.04481,-0.0596691,7.45e-07
1273,14.3888,12.9154,42,-0.040936,-0.0545107,6.83e-07
1274,14.3876,12.9154,42,-0.0372716,-0.0496313,6.24e-07
1275,14.3865,12.9154,42,-0.0338137,-0.0450267,5.68e-07
1276,14.3854,12.9154,42,-0.0305587,-0.0406924,5.15e-07
1277,14.3854,12.9154,42,-0.027503,-0.0366235,4.65e-07
1278,14.3843,12.9154,42,-0.0246427,-0.0328146,4.18e-07
1279,14.3832,12.9154,42,-0.0219735,-0.0292604,3.74e-07
1280,14.3832,12.9154,42,-0.0194913,-0.025955,3.33e-07
1281,14.3832,12.9154,42,-0.0171912,-0.0228922,2.94e-07
1282,14.3821,12.9154,42,-0.0150684,-0.0200656,2.59e-07
1283,14.3821,12.9154,42,-0.0131179,-0.0174682,2.26e-07
1284,14.3821,12.9154,42,-0.0113342,-0.015093,1.96e-07
1285,14.381,12.9154,42,-0.00971169,-0.0129324,1.68e-07
1286,14.381,12.9154,42,-0.00824447,-0.0109786,1.43e-07
1287,14.381,12.9154,42,-0.00692638,-0.00922342,1.21e-07
1288,14.381,12.9154,42,-0.00575098,-0.00765823,1.01e-07
1289,14.381,12.9154,42,-0.00471157,-0.00627412,8.27e-08
1290,14.381,12.9154,42,-0.00380117,-0.00506179,6.69e-08
1291,14.3799,12.9154,42,-0.0030125,-0.00401158,5.32e-08
1292,14.3799,12.9154,42,-0.00233803,-0.00311343,4.14e-08
1293,14.3799,12.9154,42,-0.00176992,-0.0023569,3.14e-08
1294,14.3799,12.9154,42,-0.00130003,-0.00173118,2.31e-08
1295,14.3799,12.9154,42,-0.000919941,-0.00122504,1.64e-08
1296,14.3799,12.9154,42,-0.000620927,-0.000826857,1.11e-08
1297,14.3799,12.9154,42,-0.000393957,-0.000524613,7.07e-09
1298,14.3799,12.9154,42,-0.000229692,-0.000305869,4.14e-09
1299,14.3799,12.9154,42,-0.000118481,-0.000157775,2.14e-09
1300,14.3799,12.9154,42,-5.04e-05,-6.71e-05,9.12e-10
1301,14.3799,12.9154,42,-1.5e-05,-2e-05,2.73e-10
1302,14.3799,12.9154,42,-1.89e-06,-2.52e-06,3.45e-11
1303,14.3799,12.9154,42,7.11e-15,1.42e-14,0
