index,x,y,z,yaw,vn,ve,vd,an,ae,ad
130,-2.55559,8.82239,-5.31186,104.179,-0.558909,1.92032,-0.5,0,0,0
131,-2.57522,8.89013,-5.31615,104.179,-0.558909,1.92032,-0.5,0,0,0
132,-2.59485,8.95786,-5.32044,104.179,-0.558909,1.92032,-0.5,0,0,0
133,-2.61448,9.02569,-5.32473,104.179,-0.558909,1.92032,-0.5,0,0,0
134,-2.63411,9.09342,-5.32902,104.179,-0.558909,1.92032,-0.5,0,0,0
135,-2.65374,9.16125,-5.33331,104.179,-0.558909,1.92032,-0.5,0,0,0
136,-2.67337,9.22899,-5.3376,104.179,-0.558909,1.92032,-0.5,0,0,0
137,-2.693,9.29682,-5.34189,104.179,-0.558909,1.92032,-0.5,0,0,0
138,-2.71263,9.36455,-5.34618,104.179,-0.558909,1.92032,-0.5,0,0,0
139,-2.73226,9.43238,-5.35047,104.179,-0.558909,1.92032,-0.5,0,0,0
140,-2.7519,9.50012,-5.35476,104.179,-0.558909,1.92032,-0.5,0,0,0
141,-2.77153,9.56795,-5.35905,104.179,-0.558909,1.92032,-0.5,0,0,0
142,-2.79116,9.63568,-5.36334,104.179,-0.558909,1.92032,-0.5,0,0,0
143,-2.81079,9.70341,-5.36763,104.179,-0.558909,1.92032,-0.5,0,0,0
144,-2.83042,9.77124,-5.37192,104.179,-0.558909,1.92032,-0.5,0,0,0
145,-2.85005,9.83898,-5.37621,104.179,-0.558909,1.92032,-0.5,0,0,0
146,-2.86968,9.90681,-5.3805,104.179,-0.558909,1.92032,-0.5,0,0,0
147,-2.8892,9.97454,-5.38479,104.179,-0.558909,1.92032,-0.5,0,0,0
148,-2.90883,10.0424,-5.38908,104.179,-0.558909,1.92032,-0.5,0,0,0
149,-2.92846,10.1101,-5.39337,104.179,-0.558909,1.92032,-0.5,0,0,0
150,-2.94809,10.1779,-5.39766,104.179,-0.558909,1.92032,-0.5,0,0,0
151,-2.96772,10.2457,-5.40195,104.179,-0.558909,1.92032,-0.5,0,0,0
152,-2.98735,10.3135,-5.40624,104.179,-0.558909,1.92032,-0.5,0,0,0
153,-3.00698,10.3812,-5.41053,104.179,-0.558909,1.92032,-0.5,0,0,0
154,-3.02661,10.449,-5.41482,104.179,-0.558909,1.92032,-0.5,0,0,0
155,-3.04624,10.5168,-5.41911,104.179,-0.558909,1.92032,-0.5,0,0,0
156,-3.06587,10.5845,-5.4234,104.179,-0.558909,1.92032,-0.5,0,0,0
157,-3.0855,10.6524,-5.42769,104.179,-0.558909,1.92032,-0.5,0,0,0
158,-3.10513,10.7201,-5.43198,104.179,-0.558909,1.92032,-0.5,0,0,0
159,-3.12476,10.7879,-5.43627,104.179,-0.558909,1.92032,-0.5,0,0,0
160,-3.14439,10.8557,-5.44056,104.179,-0.558909,1.92032,-0.5,0,0,0
161,-3.16402,10.9235,-5.44485,104.179,-0.558909,1.92032,-0.5,0,0,0
162,-3.18365,10.9912,-5.44914,104.179,-0.558909,1.92032,-0.5,0,0,0
163,-3.20328,11.0591,-5.45343,104.179,-0.558909,1.92032,-0.5,0,0,0
164,-3.22291,11.1268,-5.45772,104.179,-0.558909,1.92032,-0.5,0,0,0
165,-3.24254,11.1946,-5.46201,104.179,-0.558909,1.92032,-0.5,0,0,0
166,-3.26218,11.2624,-5.4663,104.179,-0.558909,1.92032,-0.5,0,0,0
167,-3.28181,11.3301,-5.47059,104.179,-0.558909,1.92032,-0.5,0,0,0
168,-3.30144,11.3979,-5.47488,104.179,-0.558909,1.92032,-0.5,0,0,0
169,-3.32107,11.4656,-5.47917,104.179,-0.558909,1.92032,-0.5,0,0,0
170,-3.3407,11.5335,-5.48346,104.179,-0.558909,1.92032,-0.5,0,0,0
171,-3.36033,11.6012,-5.48775,104.179,-0.558909,1.92032,-0.5,0,0,0
172,-3.37996,11.669,-5.49204,104.179,-0.558909,1.92032,-0.5,0,0,0
173,-3.39959,11.7368,-5.49633,104.179,-0.558909,1.92032,-0.5,0,0,0
174,-3.41922,11.8046,-5.50062,104.179,-0.558909,1.92032,-0.5,0,0,0
175,-3.43885,11.8723,-5.50491,104.179,-0.558909,1.92032,-0.5,0,0,0
176,-3.45848,11.9402,-5.5092,104.179,-0.558909,1.92032,-0.5,0,0,0
177,-3.47811,12.0079,-5.51349,104.179,-0.558909,1.92032,-0.5,0,0,0
178,-3.49774,12.0756,-5.51778,104.179,-0.558909,1.92032,-0.5,0,0,0
179,-3.51737,12.1435,-5.52207,104.179,-0.558909,1.92032,-0.5,0,0,0
180,-3.53689,12.2112,-5.52636,104.179,-0.558909,1.92032,-0.5,0,0,0
181,-3.55652,12.279,-5.53065,104.179,-0.558909,1.92032,-0.5,0,0,0
182,-3.57615,12.3468,-5.53494,104.179,-0.558909,1.92032,-0.5,0,0,0
183,-3.59578,12.4146,-5.53923,104.179,-0.558909,1.92032,-0.5,0,0,0
184,-3.61541,12.4823,-5.54352,104.179,-0.558909,1.92032,-0.5,0,0,0
185,-3.63504,12.5502,-5.54781,104.179,-0.558909,1.92032,-0.5,0,0,0
186,-3.65467,12.6179,-5.5521,104.179,-0.558909,1.92032,-0.5,0,0,0
187,-3.6743,12.6857,-5.55639,104.179,-0.558909,1.92032,-0.5,0,0,0
188,-3.69393,12.7535,-5.56068,104.179,-0.558909,1.92032,-0.5,0,0,0
189,-3.71356,12.8213,-5.56497,104.179,-0.558909,1.92032,-0.5,0,0,0
190,-3.73319,12.889,-5.56926,104.179,-0.558909,1.92032,-0.5,0,0,0
191,-3.75282,12.9568,-5.57355,104.179,-0.558909,1.92032,-0.5,0,0,0
192,-3.77245,13.0246,-5.57784,104.179,-0.558909,1.92032,-0.5,0,0,0
193,-3.79209,13.0923,-5.58213,104.179,-0.558909,1.92032,-0.5,0,0,0
194,-3.81172,13.1601,-5.58642,104.179,-0.558909,1.92032,-0.5,0,0,0
195,-3.83135,13.2279,-5.59071,104.179,-0.558909,1.92032,-0.5,0,0,0
196,-3.85098,13.2957,-5.595,104.179,-0.558909,1.92032,-0.5,0,0,0
197,-3.87061,13.3634,-5.59929,104.179,-0.558909,1.92032,-0.5,0,0,0
198,-3.89024,13.4313,-5.60358,104.179,-0.558909,1.92032,-0.5,0,0,0
199,-3.90987,13.499,-5.60787,104.179,-0.558909,1.92032,-0.5,0,0,0
