t,Px,Py,Pz,yaw,vn,ve,vd,an,ae,ad
2.65000000,-0.981235,3.371358,-0.877812,104.178959,-0.3702773067,1.2722105628,-0.3312500000,-0.1397272855,0.4800794577,-0.1250000000
2.70000000,-1.018612,3.499779,-0.911250,104.178959,-0.3772636710,1.2962145357,-0.3375000000,-0.1397272855,0.4800794577,-0.1250000000
2.75000000,-1.056688,3.630601,-0.945313,104.178958,-0.3842500352,1.3202185086,-0.3437500000,-0.1397272855,0.4800794577,-0.1250000000
2.80000000,-1.095462,3.763823,-0.980000,104.178958,-0.3912363995,1.3442224815,-0.3500000000,-0.1397272855,0.4800794577,-0.1250000000
2.85000000,-1.134935,3.899445,-1.015313,104.178959,-0.3982227638,1.3682264544,-0.3562500000,-0.1397272855,0.4800794577,-0.1250000000
2.90000000,-1.175106,4.037468,-1.051250,104.178959,-0.4052091281,1.3922304272,-0.3625000000,-0.1397272855,0.4800794577,-0.1250000000
2.95000000,-1.215977,4.177891,-1.087812,104.178958,-0.4121954924,1.4162344001,-0.3687500000,-0.1397272855,0.4800794577,-0.1250000000
3.00000000,-1.257546,4.320715,-1.125000,104.178959,-0.4191818566,1.4402383730,-0.3750000000,-0.1397272855,0.4800794577,-0.1250000000
3.05000000,-1.299813,4.465939,-1.162813,104.178959,-0.4261682209,1.4642423459,-0.3812500000,-0.1397272855,0.4800794577,-0.1250000000
3.10000000,-1.342779,4.613564,-1.201250,104.178959,-0.4331545852,1.4882463188,-0.3875000000,-0.1397272855,0.4800794577,-0.1250000000
3.15000000,-1.386444,4.763588,-1.240313,104.178959,-0.4401409495,1.5122502917,-0.3937500000,-0.1397272855,0.4800794577,-0.1250000000
3.20000000,-1.430807,4.916014,-1.280000,104.178959,-0.4471273137,1.5362542645,-0.4000000000,-0.1397272855,0.4800794577,-0.1250000000
3.25000000,-1.475869,5.070839,-1.320313,104.178959,-0.4541136780,1.5602582374,-0.4062500000,-0.1397272855,0.4800794577,-0.1250000000
3.30000000,-1.521630,5.228065,-1.361250,104.178958,-0.4611000423,1.5842622103,-0.4125000000,-0.1397272855,0.4800794577,-0.1250000000
3.35000000,-1.568089,5.387692,-1.402812,104.178959,-0.4680864066,1.6082661832,-0.4187500000,-0.1397272855,0.4800794577,-0.1250000000
3.40000000,-1.615247,5.549719,-1.445000,104.178959,-0.4750727708,1.6322701561,-0.4250000000,-0.1397272855,0.4800794577,-0.1250000000
3.45000000,-1.663104,5.714146,-1.487813,104.178958,-0.4820591351,1.6562741290,-0.4312500000,-0.1397272855,0.4800794577,-0.1250000000
3.50000000,-1.711659,5.880973,-1.531250,104.178959,-0.4890454994,1.6802781018,-0.4375000000,-0.1397272855,0.4800794577,-0.1250000000
3.55000000,-1.760913,6.050201,-1.575313,104.178958,-0.4960318637,1.7042820747,-0.4437500000,-0.1397272855,0.4800794577,-0.1250000000
3.60000000,-1.810866,6.221830,-1.620000,104.178959,-0.5030182280,1.7282860476,-0.4500000000,-0.1397272855,0.4800794577,-0.1250000000
3.65000000,-1.861517,6.395859,-1.665312,104.178959,-0.5100045922,1.7522900205,-0.4562500000,-0.1397272855,0.4800794577,-0.1250000000
3.70000000,-1.912867,6.572288,-1.711250,104.178959,-0.5169909565,1.7762939934,-0.4625000000,-0.1397272855,0.4800794577,-0.1250000000
3.75000000,-1.964915,6.751117,-1.757813,104.178958,-0.5239773208,1.8002979663,-0.4687500000,-0.1397272855,0.4800794577,-0.1250000000
3.80000000,-2.017662,6.932347,-1.805000,104.178959,-0.5309636851,1.8243019391,-0.4750000000,-0.1397272855,0.4800794577,-0.1250000000
3.85000000,-2.071108,7.115978,-1.852812,104.178959,-0.5379500493,1.8483059120,-0.4812500000,-0.1397272855,0.4800794577,-0.1250000000
3.90000000,-2.125252,7.302009,-1.901250,104.178959,-0.5449364136,1.8723098849,-0.4875000000,-0.1397272855,0.4800794577,-0.1250000000
3.95000000,-2.180095,7.490440,-1.950313,104.178958,-0.5519227779,1.8963138578,-0.4937500000,-0.1397272855,0.4800794577,-0.1250000000
4.00000000,-2.235637,7.681271,-2.000000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,-0.1397272855,0.4800794577,-0.1250000000
4.05000000,-2.263582,7.777287,-2.025000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.10000000,-2.291527,7.873303,-2.050000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.15000000,-2.319473,7.969319,-2.075000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.20000000,-2.347418,8.065335,-2.100000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.25000000,-2.375364,8.161351,-2.125000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.30000000,-2.403309,8.257367,-2.150000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.35000000,-2.431255,8.353383,-2.175000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.40000000,-2.459200,8.449398,-2.200000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.45000000,-2.487146,8.545414,-2.225000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.50000000,-2.515091,8.641430,-2.250000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.55000000,-2.543037,8.737446,-2.275000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.60000000,-2.570982,8.833462,-2.300000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.65000000,-2.598928,8.929478,-2.325000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.70000000,-2.626873,9.025494,-2.350000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.75000000,-2.654818,9.121510,-2.375000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.80000000,-2.682764,9.217526,-2.400000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.85000000,-2.710709,9.313541,-2.425000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.90000000,-2.738655,9.409557,-2.450000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
4.95000000,-2.766600,9.505573,-2.475000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.00000000,-2.794546,9.601589,-2.500000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.05000000,-2.822491,9.697605,-2.525000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.10000000,-2.850437,9.793621,-2.550000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.15000000,-2.878382,9.889637,-2.575000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.20000000,-2.906328,9.985653,-2.600000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.25000000,-2.934273,10.081669,-2.625000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.30000000,-2.962218,10.177685,-2.650000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.35000000,-2.990164,10.273700,-2.675000,104.178959,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
5.40000000,-3.018109,10.369716,-2.700000,104.178958,-0.5589091422,1.9203178307,-0.5000000000,0.0000000000,0.0000000000,0.0000000000
