index,x,y,z,vx,vy,vz
136,31.9756,26.587,42.0005,-3,-2.93602,0.000816794
137,31.9178,26.5204,42.0005,-3,-2.86539,0.000896954
138,31.8623,26.4622,42.0004,-3,-2.80828,0.000963539
139,31.8067,26.404,42.0004,-3,-2.7635,0.00101423
140,31.7523,26.3458,42.0004,-3,-2.72912,0.0010532
141,31.6979,26.2876,42.0004,-3,-2.70399,0.00107692
142,31.6446,26.2211,42.0003,-3,-2.68805,0.00108308
143,31.5901,26.1628,42.0003,-3,-2.68109,0.00108143
144,31.5368,26.1046,42.0003,-3,-2.68254,0.00107273
145,31.4835,26.0464,42.0003,-3,-2.68989,0.00105008
146,31.4291,25.9799,42.0003,-3,-2.70151,0.00102828
147,31.3747,25.9217,42.0002,-3,-2.71861,0.00099337
148,31.3202,25.8635,42.0002,-3,-2.74105,0.000949524
149,31.2647,25.8053,42.0002,-3,-2.76687,0.000910871
150,31.2092,25.747,42.0002,-3,-2.79513,0.000866898
151,31.1525,25.6805,42.0002,-3,-2.8268,0.000826566
152,31.0948,25.6223,42.0002,-3,-2.86223,0.000783862
153,31.037,25.5641,42.0001,-3,-2.90084,0.000734769
154,30.9782,25.5059,42.0001,-3,-2.94092,0.0006906
155,30.9182,25.4393,42.0001,-2.99991,-2.98153,0.000643961
156,30.8582,25.3811,42.0001,-2.97638,-3,0.000590831
157,30.7982,25.3229,42.0001,-2.93435,-3,0.000551568
158,30.7382,25.2647,42.0001,-2.89272,-3,0.000500455
159,30.6783,25.2065,42.0001,-2.85207,-3,0.000461396
160,30.6183,25.1566,42.0001,-2.81227,-3,0.000422463
161,30.5583,25.0984,42.0001,-2.77313,-3,0.000383629
162,30.4983,25.0402,42,-2.73456,-3,0.000350654
163,30.4383,24.9903,42,-2.69654,-3,0.000324317
164,30.3784,24.9404,42,-2.65883,-3,0.000290459
165,30.3184,24.8822,42,-2.62151,-3,0.000263589
166,30.2584,24.8323,42,-2.58457,-3,0.000226494
167,30.1984,24.7824,42,-2.54791,-3,0.000201383
168,30.1385,24.7325,42,-2.51166,-3,0.000188201
169,30.0785,24.6826,42,-2.47559,-3,0.000151156
